,Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Mean Temperature (C),Mean Temperature (C),Mean Temperature (C),Mean Temperature (C),Mean Temperature (C),Mean Temperature (C),Mean Temperature (C),Mean Temperature (C),Mean Temperature (C),Mean Temperature (C),Total Rain (mm),Total Rain (mm),Total Rain (mm),Total Rain (mm),Total Rain (mm),Total Rain (mm),Total Rain (mm),Total Rain (mm),Total Rain (mm),Total Rain (mm),Total Snow (cm),Total Snow (cm),Total Snow (cm),Total Snow (cm),Total Snow (cm),Total Snow (cm),Total Snow (cm),Total Snow (cm),Total Snow (cm),Total Snow (cm),Total Precipitation (mm),Total Precipitation (mm),Total Precipitation (mm),Total Precipitation (mm),Total Precipitation (mm),Total Precipitation (mm),Total Precipitation (mm),Total Precipitation (mm),Total Precipitation (mm),Total Precipitation (mm),Snow on Ground (cm),Snow on Ground (cm),Snow on Ground (cm),Snow on Ground (cm),Snow on Ground (cm),Snow on Ground (cm),Snow on Ground (cm),Snow on Ground (cm),Snow on Ground (cm),Snow on Ground (cm)
,count,mean,std,min,5%,25%,50%,75%,95%,max,count,mean,std,min,5%,25%,50%,75%,95%,max,count,mean,std,min,5%,25%,50%,75%,95%,max,count,mean,std,min,5%,25%,50%,75%,95%,max,count,mean,std,min,5%,25%,50%,75%,95%,max,count,mean,std,min,5%,25%,50%,75%,95%,max,count,mean,std,min,5%,25%,50%,75%,95%,max
Station Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDMONTON BLATCHFORD,9455.0,9.58,12.74,-31.8,-13.8,0.9,10.6,20.3,27.3,37.0,9466.0,-0.63,11.26,-37.7,-21.3,-8.1,0.3,9.0,14.4,23.4,9455.0,4.48,11.87,-34.5,-17.3,-3.7,5.5,14.6,20.6,29.9,2859.0,0.77,2.94,0.0,0.0,0.0,0.0,0.0,4.22,48.2,2858.0,0.32,1.46,0.0,0.0,0.0,0.0,0.0,2.0,22.0,7576.0,1.15,3.62,0.0,0.0,0.0,0.0,0.4,6.4,52.1,4137.0,8.43,11.01,0.0,0.0,0.0,2.0,15.0,31.0,54.0
EDMONTON INTERNATIONAL CS,9375.0,9.14,12.91,-33.8,-14.3,0.2,10.1,20.2,27.0,35.6,9378.0,-4.29,11.58,-46.6,-26.1,-11.6,-2.7,5.0,11.1,20.1,9374.0,2.43,12.0,-40.1,-19.8,-5.6,3.7,12.7,18.2,27.0,2865.0,0.78,2.97,0.0,0.0,0.0,0.0,0.0,4.6,49.0,2739.0,0.29,1.34,0.0,0.0,0.0,0.0,0.0,1.6,23.1,8791.0,1.05,3.33,0.0,0.0,0.0,0.0,0.6,5.5,49.0,4340.0,7.54,8.78,0.0,0.0,0.0,4.0,14.0,25.0,41.0
EDMONTON INTL A,5005.0,9.38,13.23,-34.4,-14.8,0.2,10.7,20.7,27.2,34.3,5003.0,-3.74,11.59,-45.9,-25.5,-11.0,-2.1,5.5,11.5,20.0,5003.0,2.83,12.18,-40.2,-19.5,-5.3,4.3,13.2,18.6,26.9,4938.0,0.91,3.62,0.0,0.0,0.0,0.0,0.0,5.2,49.3,4953.0,0.32,1.28,0.0,0.0,0.0,0.0,0.0,2.0,18.0,4986.0,1.19,3.77,0.0,0.0,0.0,0.0,0.5,6.7,49.3,2203.0,15.85,11.01,0.0,0.0,6.0,16.0,24.0,35.0,49.0
EDMONTON NAMAO A,738.0,8.97,12.11,-23.6,-12.63,1.23,10.25,18.8,25.53,32.7,736.0,-3.35,10.75,-31.6,-23.25,-10.9,-2.55,5.52,11.4,15.1,736.0,2.84,11.27,-27.2,-17.5,-4.32,4.2,12.3,17.8,23.5,0.0,,,,,,,,,,0.0,,,,,,,,,,709.0,0.86,3.02,0.0,0.0,0.0,0.0,0.5,3.8,29.5,0.0,,,,,,,,,
EDMONTON NAMAO AWOS A,7225.0,8.72,12.9,-32.3,-14.7,-0.2,9.7,19.7,26.5,37.5,7252.0,-2.89,11.42,-42.1,-24.64,-10.1,-1.5,6.7,12.2,23.6,7214.0,2.91,12.0,-37.0,-19.3,-5.2,4.0,13.3,18.8,30.6,2270.0,0.75,3.03,0.0,0.0,0.0,0.0,0.0,4.0,52.0,2233.0,0.23,1.14,0.0,0.0,0.0,0.0,0.0,1.0,21.0,6713.0,0.96,3.25,0.0,0.0,0.0,0.0,0.5,5.0,79.5,1048.0,0.03,0.59,0.0,0.0,0.0,0.0,0.0,0.0,14.0
EDMONTON SOUTH CAMPUS,2025.0,9.73,13.13,-30.2,-14.9,1.0,11.0,20.6,28.0,37.6,2024.0,-1.03,11.64,-39.2,-22.7,-8.6,-0.2,8.7,14.5,22.3,2024.0,4.35,12.22,-34.3,-18.6,-4.0,5.65,14.4,20.88,30.0,0.0,,,,,,,,,,0.0,,,,,,,,,,1976.0,1.06,3.52,0.0,0.0,0.0,0.0,0.5,5.7,44.0,0.0,,,,,,,,,
EDMONTON STONY PLAIN,9129.0,9.49,12.45,-33.5,-13.5,1.0,10.5,20.0,26.6,38.5,9129.0,-0.72,10.88,-41.0,-21.4,-7.4,0.5,8.3,13.5,21.0,9128.0,4.39,11.51,-36.5,-17.2,-3.0,5.5,14.0,19.8,29.0,9118.0,0.98,3.93,0.0,0.0,0.0,0.0,0.0,5.8,95.0,9124.0,0.4,1.69,0.0,0.0,0.0,0.0,0.0,2.4,33.0,9123.0,1.29,4.11,0.0,0.0,0.0,0.0,0.6,7.2,95.0,9121.0,5.6,9.83,0.0,0.0,0.0,0.0,9.0,26.0,70.0
EDMONTON STONY PLAIN CS,9417.0,9.15,12.47,-31.1,-14.0,0.9,10.1,19.6,26.3,35.7,9439.0,-1.09,10.91,-41.0,-21.8,-7.8,0.1,8.1,13.2,20.3,9414.0,4.04,11.56,-35.8,-17.5,-3.4,5.2,13.8,19.4,27.3,2941.0,0.8,3.04,0.0,0.0,0.0,0.0,0.0,4.6,38.4,2838.0,0.28,1.37,0.0,0.0,0.0,0.0,0.0,1.32,24.0,9378.0,1.13,3.74,0.0,0.0,0.0,0.0,0.6,6.2,95.1,4757.0,11.53,12.27,0.0,0.0,0.0,9.0,19.0,35.0,67.0
